Wall time,Step,Value
1666504320.6395497,230400,-9775.48046875
1666504375.0165408,231120,-8724.3876953125
1666504427.7356002,231840,-6295.97802734375
1666504482.3399992,232560,-9377.9130859375
1666504538.521465,233280,-13006.923828125
1666504593.0115433,234000,-9200.7763671875
1666504648.068459,234720,-10056.328125
1666504701.580545,235440,-8242.35546875
1666504759.9003198,236160,-17148.099609375
1666504814.5994282,236880,-9823.75390625
1666504870.6477494,237600,-11881.3408203125
1666504925.1595604,238320,-9171.5849609375
1666504978.0195317,239040,-6206.40234375
1666505033.287173,239760,-10039.787109375
1666505087.4183013,240480,-8785.2890625
1666505142.8659348,241200,-11672.748046875
1666505196.2862139,241920,-7722.48291015625
1666505252.298364,242640,-12926.361328125
1666505307.1563878,243360,-8818.2119140625
1666505363.4904628,244080,-13352.6630859375
1666505417.0348327,244800,-7993.12158203125
1666505471.1597703,245520,-8170.54443359375
1666505529.6527555,246240,-15040.2041015625
1666505583.6769204,246960,-8759.224609375
1666505638.893383,247680,-11583.7470703125
1666505694.5381224,248400,-11899.103515625
1666505749.9489772,249120,-11991.275390625
1666505808.3949203,249840,-17348.9609375
1666505862.1587708,250560,-8402.78125
1666505917.00739,251280,-9571.369140625
1666505976.0874336,252000,-18275.1328125
1666506031.2964182,252720,-10943.6875
1666506087.4867215,253440,-13430.5009765625
1666506141.1636424,254160,-8173.62744140625
1666506198.2477708,254880,-13436.1630859375
1666506255.4141076,255600,-14673.4033203125
1666506311.2796896,256320,-12129.140625
1666506367.3275504,257040,-12157.4365234375
1666506422.254127,257760,-9949.0361328125
1666506475.3090162,258480,-7661.11572265625
1666506528.9562178,259200,-7974.77294921875
1666506583.8544843,259920,-10463.91015625
1666506639.0231116,260640,-12002.0029296875
1666506695.136537,261360,-12513.189453125
1666506750.8805027,262080,-11692.900390625
1666506807.2112842,262800,-12857.1982421875
1666506865.2118175,263520,-16278.2509765625
1666506919.5091245,264240,-10025.453125
1666506975.5221183,264960,-11573.48046875
1666507030.475544,265680,-10346.4951171875
1666507089.586678,266400,-18207.126953125
